"","tf","cell_type","avg","std"
"184","BATF","CD8+ effector memory T cells 1",-2.00781972769502,1.40996940696701
"185","BATF","CD8+ effector memory T cells 2",-1.40150054546924,1.46500365680635
"186","BATF","CD8+ exhausted T cells",-1.00159984202935,1.44933966949432
"187","BATF","CD8+ naive T cells",-2.78787611769938,1.30548936654199
"188","BATF","CD8+ NK-like early effector T cells",-2.08953616216405,1.53038599100125
"189","BATF","CD8+ NK-like TEMRA cells",-2.11563636221527,1.40394139486024
"190","BATF","CD8+ TEMRA cells",-2.11885787434463,1.39621310051009
"191","BATF","Gamma Delta T cells",-2.08831408482309,1.29792118494188
"192","BATF","MAIT cells",-2.36254603241541,1.28706723194853
"193","BCL11A","CD8+ CD73+ regulatory T cells",-2.12742417654906,1.03334521179897
"194","BCL11A","CD8+ central memory T cells",-1.96696005822658,1.11417397481154
"195","BCL11A","CD8+ cycling effector T cells",-1.97880246077365,0.899168659003891
"196","BCL11A","CD8+ effector memory T cells 1",-1.76583443014254,1.0698391597518
"197","BCL11A","CD8+ effector memory T cells 2",-1.53656980893549,1.03340314029219
"198","BCL11A","CD8+ exhausted T cells",-1.36862643153624,1.08880361831655
"199","BCL11A","CD8+ naive T cells",-2.71933659899717,1.01479973632901
"200","BCL11A","CD8+ NK-like early effector T cells",-1.71623375434074,1.02354153314458
"201","BCL11A","CD8+ NK-like TEMRA cells",-1.64981524529624,1.05697538733537
"202","BCL11A","CD8+ TEMRA cells",-1.75017320510377,1.04817766984313
"203","BCL11A","Gamma Delta T cells",-1.17535549604542,1.24523768748923
"204","BCL11A","MAIT cells",-1.77308407283757,1.09843721146609
"205","BCL6","CD8+ CD73+ regulatory T cells",2.8126939429831,1.15252390511995
"206","BCL6","CD8+ central memory T cells",2.61909697017476,1.08304650136757
"207","BCL6","CD8+ cycling effector T cells",2.64420006391441,1.07579854976156
"208","BCL6","CD8+ effector memory T cells 1",2.48417780226663,1.0751253708531
"209","BCL6","CD8+ effector memory T cells 2",2.15332216011737,1.09011131607731
"210","BCL6","CD8+ exhausted T cells",1.97322470344872,1.01105893188347
"211","BCL6","CD8+ naive T cells",3.37753749381678,1.02548611735199
"212","BCL6","CD8+ NK-like early effector T cells",2.47369902456181,1.17749366851153
"213","BCL6","CD8+ NK-like TEMRA cells",2.13460022073959,1.0733016948511
"214","BCL6","CD8+ TEMRA cells",2.31136144512731,1.12542213578412
"215","BCL6","Gamma Delta T cells",2.21854966400848,1.05773554360882
"216","BCL6","MAIT cells",2.49677724172862,1.02787125463905
"217","BHLHE22","CD8+ CD73+ regulatory T cells",0.979428674924173,0.990849791652613
"218","BHLHE22","CD8+ central memory T cells",0.976682516062083,1.03286574792912
"219","BHLHE22","CD8+ cycling effector T cells",0.50294819658251,0.957318920664511
"220","BHLHE22","CD8+ effector memory T cells 1",0.581485944328862,1.05025124161044
"221","BHLHE22","CD8+ effector memory T cells 2",0.373135510691401,1.04159883468825
